,Unnamed: 0,Dataset_ID,Organ_major,Organ_specific,Platform,Count_filtered,Mito_filtered,Gene_filtered,Pct_filtered,Total_cells,Total_cells_passed,Source,pubmed_id,pubmed_link,doi,accession
84,84,806229,pancreas,{'Pancreatic_islets'},10x,2.91550604,0.04333024,0.28938409,3.24822037,64620,62521,"Xin, Y. et al. Pseudotime Ordering of Single Human β-Cells Reveals States of Insulin Production and Unfolded Protein Response. Diabetes 67, 1783–1794 (2018).",29950394,https://pubmed.ncbi.nlm.nih.gov/29950394/,10.2337/db18-0365,
85,85,753532,immune,{'tumor_immune'},droplet,1.8340982,0.28446596,0,2.10127617,63628,62291,Datasets. 10x Genomics https://www.10xgenomics.com/resources/datasets?menu%5Bproducts.name%5D=Single%20Cell%20Gene%20Expression&query=&page=1&configure%5Bfacets%5D%5B0%5D=chemistryVersionAndThroughput&configure%5Bfacets%5D%5B1%5D=pipeline.version&configure%5BhitsPerPage%5D=500.,,,,
86,86,117572,eye,{'retina'},droplet,1.38114546,0,0,1.38114546,63136,62264,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
87,87,461870,pancreas,{'pancreas'},sci-RNA-seq3,1.77750391,0.00474001,0,1.78224392,63291,62163,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
88,88,399004,liver,{'Liver'},10x,1.45993536,0.18308895,0,1.64302431,62811,61779,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
89,89,631526,testis,{'testis'},droplet,2.11954016,1.01286353,0,3.13240368,62891,60921,"Sohni, A. et al. The Neonatal and Adult Human Testis Defined at the Single-Cell Level. Cell Rep. 26, 1501–1517.e4 (2019).",30726734,https://pubmed.ncbi.nlm.nih.gov/30726734/,10.1016/j.celrep.2019.01.045,
90,90,856699,immune,{'tumor_immune'},droplet,1.90630572,0.13616469,0,2.03598638,61690,60434,"Zhang, Q. et al. Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma. Cell 179, 829–845.e20 (2019).",31675496,https://pubmed.ncbi.nlm.nih.gov/31675496/,10.1016/j.cell.2019.10.003,
91,91,833326,large_intestine,{'Colon'},10x,0.7857517,0.43871137,0.00163698,1.22610005,61088,60339,"Parikh, K. et al. Colonic epithelial cell diversity in health and inflammatory bowel disease. Nature 567, 49–55 (2019).",30814735,https://pubmed.ncbi.nlm.nih.gov/30814735/,10.1038/s41586-019-0992-y,
92,92,666650,endothelial,{'Endothelial_cells'},10x,2.40631679,1.65750363,0,4.06382042,61297,58806,"Paik, D. T. et al. Large-Scale Single-Cell RNA-Seq Reveals Molecular Signatures of Heterogeneous Populations of Human Induced Pluripotent Stem Cell-Derived Endothelial Cells. Circ. Res. 123, 443–450 (2018).",29986945,https://pubmed.ncbi.nlm.nih.gov/29986945/,10.1161/CIRCRESAHA.118.312913,
93,93,687284,immune,{'blood'},10X_3'_v2,0.82116788,0.16051636,0,0.98168424,59184,58603,"Mende, N. et al. Quantitative and molecular differences distinguish adult human medullary and extramedullary haematopoietic stem and progenitor cell landscapes. bioRxiv (2020) doi:10.1101/2020.01.26.919753.",,,,
94,94,414908,intestine_unspecified,{'intestine_unspecified'},sci-RNA-seq3,1.44274424,0.03531192,0,1.47133008,59470,58595,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
95,95,556164,bone_marrow,{'bone_marrow'},10X_3'_v2,1.13434352,0.2099382,0,1.34428172,59065,58271,"Mende, N. et al. Quantitative and molecular differences distinguish adult human medullary and extramedullary haematopoietic stem and progenitor cell landscapes. bioRxiv (2020) doi:10.1101/2020.01.26.919753.",,,,
96,96,482777,eye,{'retina'},droplet,2.73496964,0,0,2.73496964,58465,56866,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
97,97,800340,large_intestine,{'Colon'},10x,0.45431334,0.32400641,0.0017609,0.78008065,56789,56346,"Parikh, K. et al. Colonic epithelial cell diversity in health and inflammatory bowel disease. Nature 567, 49–55 (2019).",30814735,https://pubmed.ncbi.nlm.nih.gov/30814735/,10.1038/s41586-019-0992-y,
98,98,950238,testis,{'Testis'},10x,1.09364802,0.5609356,0.03351502,1.68809864,56691,55734,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
99,99,748726,eye,{'pigmented layer of retina and optic choroid'},droplet,1.92774525,0.39268885,0,2.3204341,56024,54724,"Voigt, A. P. et al. Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration. Proc. Natl. Acad. Sci. U. S. A. 116, 24100–24107 (2019).",31712411,https://pubmed.ncbi.nlm.nih.gov/31712411/,10.1073/pnas.1914143116,GSE135922
100,100,548975,immune,{'blood'},10X_3'_v2,1.21898779,0.0990895,0,1.31807729,53487,52782,"Ramachandran, P. et al. Resolving the fibrotic niche of human liver cirrhosis at single-cell level. Nature 575, 512–518 (2019).",31597160,https://pubmed.ncbi.nlm.nih.gov/31597160/,10.1038/s41586-019-1631-3,
101,101,467760,testis,{'Testis'},10x,1.68478666,1.72201951,0,3.40680617,53716,51886,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
102,102,152037,large_intestine,{'lamina_propria_of_mucosa_of_colon'},10X_3'_v2,2.09878954,0.24795002,0,2.34673955,51220,50018,"Kinchen, J. et al. Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease. Cell 175, 372–386.e17 (2018).",30270042,https://pubmed.ncbi.nlm.nih.gov/30270042/,10.1016/j.cell.2018.08.067,
103,103,357981,spleen,{'spleen'},10X_3'_v2,1.01963203,0.21996094,0,1.23959297,48645,48042,"Mende, N. et al. Quantitative and molecular differences distinguish adult human medullary and extramedullary haematopoietic stem and progenitor cell landscapes. bioRxiv (2020) doi:10.1101/2020.01.26.919753.",,,,
104,104,188101,placenta,{'Placenta'},drop-seq,1.35271886,0.44815266,0.65880506,2.45967659,48421,47230,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
105,105,384394,placenta,{'Placenta'},drop-seq,0.67409852,0.08853831,4.59594334,5.35858017,49696,47033,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
106,106,981578,muscle,{'muscle'},sci-RNA-seq3,1.8596041,0.00210362,0,1.86170772,47537,46652,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
107,107,874707,eye,{'retinal_neural_layer'},10X_v2,1.60824742,0.19967444,0,1.80792187,46075,45242,"Lukowski, S. W. et al. A single-cell transcriptome atlas of the adult human retina. EMBO J. 38, e100811 (2019).",31436334,https://pubmed.ncbi.nlm.nih.gov/31436334/,10.15252/embj.2018100811,
108,108,342337,decidua,{'Decidua'},drop-seq,0.82978204,0.09574408,14.2846415,15.2101676,53267,45165,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
109,109,491604,decidua,{'Decidua'},drop-seq,1.03101287,0.06804685,6.23350379,7.33256351,48496,44940,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
110,110,459207,pancreas,{'Alpha_cells'},10x,1.36511281,0.01755772,0.07900974,1.46168027,45564,44898,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
111,111,696735,testis,{'Testicle'},10x,1.40728836,1.43334926,0.00434348,2.84498111,46046,44736,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
112,112,992783,brain,{'Substantia_nigra'},10x,2.89432259,0.08395424,4.5062441,7.48242208,47645,44080,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
113,113,207367,lung,{'Lungs'},drop-seq,1.56281262,0.02000756,4.51503901,6.09341307,44983,42242,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
114,114,558700,pancreas,{'Pancreatic_islets'},10x,2.92272203,0.07151096,0,2.99423299,43350,42052,"Xin, Y. et al. Pseudotime Ordering of Single Human β-Cells Reveals States of Insulin Production and Unfolded Protein Response. Diabetes 67, 1783–1794 (2018).",29950394,https://pubmed.ncbi.nlm.nih.gov/29950394/,10.2337/db18-0365,
115,115,556483,placenta,{'Placenta'},drop-seq,0.60096405,0.07929387,12.9123803,13.5926382,47923,41409,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
116,116,114763,decidua,{'Decidua'},drop-seq,0.47586991,0.12999373,4.96993895,5.5758026,43079,40677,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
117,117,757541,lung,{'Lungs'},drop-seq,0.41096896,0.08561853,1.98634996,2.48293745,40879,39864,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
118,118,472058,immune,{'tumor_immune'},droplet,1.71998797,0.13539264,0,1.84284425,39884,39149,"de Andrade, L. F. et al. Discovery of specialized NK cell populations infiltrating human melanoma metastases. JCI Insight 4, (2019).",31801909,https://pubmed.ncbi.nlm.nih.gov/31801909/,pii: 133103. doi: 10.1172/jci.insight.133103,GSE139249
119,119,829507,eye,{'retina'},droplet,3.15660051,0,0,3.15660051,39853,38595,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
120,120,274241,heart,{'iPSC_cardiomyocytes'},DROP,1.93452381,1.44174473,2.92983997,6.30610851,40992,38407,"Selewa, A. et al. Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation. Sci. Rep. 10, 1535 (2020).",32001747,https://pubmed.ncbi.nlm.nih.gov/32001747/,10.1038/s41598-020-58327-6,
121,121,391663,airway,{'airway'},droplet,3.59937005,0.02794148,0.04572241,3.67303394,39368,37922,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
122,122,741548,placenta,{'placenta'},sci-RNA-seq3,1.73249271,0,0,1.73249271,38384,37719,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
123,123,904465,adipose,{'adipose'},droplet,1.65575059,0,0.01571915,1.67146974,38170,37532,"Vijay, J. et al. Single-cell analysis of human adipose tissue identifies depot and disease specific cell types. Nat Metab 2, 97–109 (2020).",32066997,https://pubmed.ncbi.nlm.nih.gov/32066997/,10.1038/s42255-019-0152-6,
124,124,601258,kidney,{'kidney'},droplet,1.61138924,0.98299958,0,2.59438882,38352,37357,"Stewart, B. J. et al. Spatiotemporal immune zonation of the human kidney. Science 365, 1461–1466 (2019).",31604275,https://pubmed.ncbi.nlm.nih.gov/31604275/,10.1126/science.aat5031,
125,125,474594,heart,{'iPSC_cardiomyocytes'},DRONC,1.802824,1.77508825,3.02319718,6.59606657,39660,37044,"Selewa, A. et al. Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation. Sci. Rep. 10, 1535 (2020).",32001747,https://pubmed.ncbi.nlm.nih.gov/32001747/,10.1038/s41598-020-58327-6,
126,126,929742,placenta,{'Placenta'},drop-seq,0.83128614,0.06699918,8.84637336,9.74465868,40299,36372,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
127,127,156908,yolk_sac,{'yolk_sac'},10X_3'_v2,2.00911518,0.26158949,0.67689652,2.9476012,37081,35988,"Popescu, D.-M. et al. Decoding human fetal liver haematopoiesis. Nature 574, 365–371 (2019).",31597962,https://pubmed.ncbi.nlm.nih.gov/31597962/,10.1038/s41586-019-1652-y,
128,128,224789,placenta,{'Placenta'},drop-seq,0.52771163,0.05412427,5.35289024,5.93472613,36952,34759,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
129,129,537368,pluripotent_stem_cell,{'Cultured_embryonic_stem_cells'},10x,1.8752837,0.94473445,0,2.82001816,35248,34254,"Kang, H. M. et al. Multiplexed droplet single-cell RNA-sequencing using natural genetic variation. Nat. Biotechnol. 36, 89–94 (2018).",29227470,https://pubmed.ncbi.nlm.nih.gov/29227470/,10.1038/nbt.4042,
130,130,514292,bone_marrow,{'bone marrow'},droplet,0.89370933,0.45408532,0,1.34779465,34575,34109,"Setty, M. et al. Characterization of cell fate probabilities in single-cell data with Palantir. Nat. Biotechnol. 37, 451–460 (2019).",31534198,https://pubmed.ncbi.nlm.nih.gov/31534198/,10.1038/s41587-019-0282-0,
131,131,610145,immune,{'T_cells'},10x,2.1540392,0.01195029,0.37045889,2.53644837,33472,32623,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
132,132,697888,airway,{'airway'},droplet,3.98765654,0.02696387,0.08089161,4.08652406,33378,32014,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
133,133,976270,large_intestine,{'colon'},droplet,2.19256435,0.64885144,0,2.84141579,32519,31595,"Kinchen, J. et al. Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease. Cell 175, 372–386.e17 (2018).",30270042,https://pubmed.ncbi.nlm.nih.gov/30270042/,10.1016/j.cell.2018.08.067,
134,134,978160,brain,{'Human_embryo_forebrain'},10x,2.7523217,0.49039139,0,3.24271309,32627,31569,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
135,135,460799,airway,{'airway'},droplet,3.90508685,0.02791563,0.12406948,4.04466501,32240,30936,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
136,136,166386,placenta,{'Placenta'},drop-seq,0.73531703,0.0685465,4.91042218,5.71116996,32095,30262,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
137,137,389498,testis,{'Testicle'},10x,1.42243437,2.27844073,0,3.7008751,31425,30262,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
138,138,538007,placenta,{'Placenta'},drop-seq,0.58350622,0.02161134,36.3265041,36.9294606,46272,29184,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
139,139,151907,immune,{'tumor_immune'},droplet,1.57501977,0.32325733,0,1.88796038,29079,28530,Datasets. 10x Genomics https://www.10xgenomics.com/resources/datasets?menu%5Bproducts.name%5D=Single%20Cell%20Gene%20Expression&query=&page=1&configure%5Bfacets%5D%5B0%5D=chemistryVersionAndThroughput&configure%5Bfacets%5D%5B1%5D=pipeline.version&configure%5BhitsPerPage%5D=500.,,,,
140,140,814150,eye,{'retina'},droplet,1.63319202,0,0,1.63319202,28778,28308,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
141,141,248576,immune,{'blood'},droplet,1.96113074,0.04240283,0,2.00353357,28300,27733,"Silvin, A. et al. Elevated Calprotectin and Abnormal Myeloid Cell Subsets Discriminate Severe from Mild COVID-19. Cell 182, 1401–1418.e18 (2020).",32810439,https://pubmed.ncbi.nlm.nih.gov/32810439/,10.1016/j.cell.2020.08.002,
142,142,889503,lung,{'Lungs'},drop-seq,1.65145589,0.32594524,0.24264812,2.22004925,27612,26999,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
143,143,648974,airway,{'airway'},droplet,3.67118338,0.05058717,0.09033424,3.81210479,27675,26620,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
144,144,391195,immune,{'tumor_immune'},droplet,1.87585022,2.99634854,0,4.87219875,27934,26573,"Peng, J. et al. Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma. Cell Res. 29, 725–738 (2019).",31409908,https://pubmed.ncbi.nlm.nih.gov/31409908/,10.1038/s41422-019-0212-1,
145,145,818851,immune,{'NK_cells'},10x,1.27882048,0.00376124,0.17677812,1.45935984,26587,26199,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
146,146,430501,immune,{'T_cells'},10x,1.59840781,0.00310974,17.0040738,18.6024816,32157,26175,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
147,147,579998,breast,{'Mammary_gland'},10x,1.69231345,1.17563368,0,2.86794713,26709,25943,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
148,148,873116,placenta,{'Placenta'},10x,0.94285165,0.74658457,0.03078699,1.72022321,25985,25538,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
149,149,512174,brain,{'Substantia_nigra'},10x,2.4346226,0.0778513,7.12693301,9.63586822,28259,25536,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
150,150,354986,placenta,{'Placenta'},drop-seq,0.49020736,0.02991876,41.4190698,41.9322915,43451,25231,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
151,151,459289,immune,{'tumor_immune'},droplet,1.90259371,0.04065371,0,1.9310513,24598,24123,"Durante, M. A. et al. Single-cell analysis reveals new evolutionary complexity in uveal melanoma. Nat. Commun. 11, 496 (2020).",31980621,https://pubmed.ncbi.nlm.nih.gov/31980621/,10.1038/s41467-019-14256-1,
152,152,740960,spleen,{'spleen'},sci-RNA-seq3,1.78393628,0,0,1.78393628,24104,23674,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
153,153,108130,testis,{'Testicle'},10x,1.45839291,2.19371706,0.00817027,3.66028024,24479,23583,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
154,154,115097,airway,{'airway'},droplet,3.7546728,0.04107957,0.13967054,3.927207,24343,23387,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
155,155,919486,airway,{'airway'},droplet,3.8937394,0.02068937,0.15310134,4.06339223,24167,23185,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
156,156,147178,kidney,{'Fetal_kidney'},drop-seq,1.51565762,0.01670146,2.12943633,3.65762004,23950,23074,"Menon, R. et al. Single-cell analysis of progenitor cell dynamics and lineage specification in the human fetal kidney. Development 145, (2018).",30166318,https://pubmed.ncbi.nlm.nih.gov/30166318/,10.1242/dev.164038,
157,157,539131,immune,{'venous_blood'},10X_v2,1.43987547,0.33294418,0,1.77281965,23127,22717,"Ledergor, G. et al. Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma. Nat. Med. 24, 1867–1876 (2018).",30523328,https://pubmed.ncbi.nlm.nih.gov/30523328/,10.1038/s41591-018-0269-2,GSE117156
158,158,377363,eye,{'retina'},droplet,1.67786709,0,0,1.67786709,22767,22385,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
159,159,968526,airway,{'airway'},droplet,3.67269432,0.04747313,0,3.72016745,23171,22309,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
160,160,734704,airway,{'airway'},droplet,3.60148245,0.03924133,0,3.64072378,22935,22100,"Plasschaert, L. W. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018).",30069046,https://pubmed.ncbi.nlm.nih.gov/30069046/,10.1038/s41586-018-0394-6,
161,161,419100,kidney,{'kidney'},droplet,1.58622252,1.38227963,0,2.96850215,22065,21410,"Hochane, M. et al. Single-cell transcriptomics reveals gene expression dynamics of human fetal kidney development. PLoS Biol. 17, e3000152 (2019).",30789893,https://pubmed.ncbi.nlm.nih.gov/30789893/,10.1371/journal.pbio.3000152,
162,162,179431,testis,{'Testicular_cells'},10x,2.08870077,0.4048583,0.00460066,2.49815974,21736,21193,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
163,163,433531,various,"{'colon', 'unlabeled', 'rectum', 'ileum'}",droplet,1.5772139,0.49171963,0,2.06893353,21557,21111,"Wang, Y. et al. Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine. J. Exp. Med. 217, (2020).",31753849,https://pubmed.ncbi.nlm.nih.gov/31753849/,10.1084/jem.20191130,GSE125970
164,164,230116,eye,{'retina'},droplet,1.58574235,0.00935541,0,1.59509776,21378,21037,"Sridhar, A. et al. Single-Cell Transcriptomic Comparison of Human Fetal Retina, hPSC-Derived Retinal Organoids, and Long-Term Retinal Cultures. Cell Rep. 30, 1644–1659.e4 (2020).",32023475,https://pubmed.ncbi.nlm.nih.gov/32023475/,10.1016/j.celrep.2020.01.007,GSE142526
165,165,828031,immune,{'bronchoalveolar_immune'},droplet,1.71165556,0.00479455,0,1.71645011,20857,20499,"Liao, M. et al. Single-cell landscape of bronchoalveolar immune cells in patients with COVID-19. Nat. Med. 26, 842–844 (2020).",32398875,https://pubmed.ncbi.nlm.nih.gov/32398875/,10.1038/s41591-020-0901-9,
166,166,104560,lung,{'Lung_distal_alveolar_stromal_cells'},10x,1.46573481,0.21840419,0.00485343,1.68899243,20604,20256,"Wang, C. et al. Expansion of hedgehog disrupts mesenchymal identity and induces emphysema phenotype. J. Clin. Invest. 128, 4343–4358 (2018).",29999500,https://pubmed.ncbi.nlm.nih.gov/29999500/,10.1172/JCI99435,
167,167,237091,adipose,{'subcutaneous_abdominal_adipose_tissue'},10X_3'_v2,1.0207145,0.37526268,0,1.39597718,19986,19707,"Merrick, D. et al. Identification of a mesenchymal progenitor cell hierarchy in adipose tissue. Science 364, (2019).",31023895,https://pubmed.ncbi.nlm.nih.gov/31023895/,10.1126/science.aav2501,GSE128890
168,168,460048,endothelial,{'Umbilical_vein_endothelial_cells'},10x,1.47941027,0.82867311,0,2.30808338,19670,19216,"Zirkel, A. et al. HMGB2 Loss upon Senescence Entry Disrupts Genomic Organization and Induces CTCF Clustering across Cell Types. Mol. Cell 70, 730–744.e6 (2018).",29706538,https://pubmed.ncbi.nlm.nih.gov/29706538/,10.1016/j.molcel.2018.03.030,
169,169,287982,pancreas,{'pancreas'},Dropseq,3.255,1.19,1.04,4.085,20000,19183,"Fang, Z. et al. Single-Cell Heterogeneity Analysis and CRISPR Screen Identify Key β-Cell-Specific Disease Genes. Cell Rep. 26, 3132–3144.e7 (2019).",30865899,https://pubmed.ncbi.nlm.nih.gov/30865899/,10.1016/j.celrep.2019.02.043,
170,170,644589,pancreas,{'pancreas'},Dropseq,3.68,1.785,3.02,5.215,20000,18957,"Fang, Z. et al. Single-Cell Heterogeneity Analysis and CRISPR Screen Identify Key β-Cell-Specific Disease Genes. Cell Rep. 26, 3132–3144.e7 (2019).",30865899,https://pubmed.ncbi.nlm.nih.gov/30865899/,10.1016/j.celrep.2019.02.043,
